nameWithOwner,createdAt,pushedAt,releases_totalCount,primaryLanguage_name,pullRequests_totalCount,closedIssues_totalCount,openIssues_totalCount,stargazers_totalCount
prometheus/prometheus,2012-11-24T11:14:12Z,2025-08-18T08:13:25Z,341,Go,7623,5640,521,59966
rust-lang/rustlings,2015-09-15T02:25:18Z,2025-08-18T10:01:40Z,45,Rust,912,686,50,59650
jquery/jquery,2009-04-03T15:20:14Z,2025-08-12T20:06:59Z,11,JavaScript,811,2285,80,59541
NationalSecurityAgency/ghidra,2019-03-01T03:27:48Z,2025-08-18T11:22:14Z,45,Java,520,4059,1468,59486
Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,2025-08-18T02:24:57Z,0,Python,132,87,3,59375
ryanoasis/nerd-fonts,2014-12-05T04:31:17Z,2025-08-03T13:24:02Z,38,CSS,550,1062,28,59208
shadowsocks/shadowsocks-windows,2013-01-14T07:54:16Z,2025-01-01T08:09:55Z,55,C#,290,2727,185,58981
tldr-pages/tldr,2013-12-08T07:34:43Z,2025-08-18T09:26:05Z,6,Markdown,14677,1338,181,58869
angular/angular.js,2010-01-06T00:34:37Z,2024-04-12T17:43:16Z,0,JavaScript,789,8649,391,58754
spring-projects/spring-framework,2010-12-08T04:04:45Z,2025-08-18T10:02:44Z,341,Java,870,26810,278,58674
meta-llama/llama,2023-02-14T09:29:12Z,2025-01-26T21:42:26Z,0,Python,53,652,444,58648
scrapy/scrapy,2010-02-22T02:01:14Z,2025-08-16T07:35:23Z,43,Python,2388,2712,467,57979
nuxt/nuxt,2016-10-26T11:18:47Z,2025-08-18T14:20:28Z,256,TypeScript,6886,15868,783,57948
FoundationAgents/MetaGPT,2023-06-30T09:04:55Z,2025-06-30T11:45:55Z,22,Python,660,853,10,57926
youngyangyang04/leetcode-master,2019-12-14T12:05:42Z,2025-08-13T05:58:41Z,0,Shell,2306,66,206,57837
gorhill/uBlock,2015-04-01T17:51:11Z,2025-08-18T13:40:32Z,277,JavaScript,252,3432,13,57749
FuelLabs/fuel-core,2020-08-27T21:12:14Z,2025-08-15T12:16:46Z,123,Rust,1553,970,142,57537
rails/rails,2008-04-11T02:19:47Z,2025-08-18T08:53:07Z,149,Ruby,25146,17713,479,57294
h5bp/html5-boilerplate,2010-01-24T18:03:24Z,2025-08-01T07:44:25Z,34,JavaScript,790,1346,8,57118
Solido/awesome-flutter,2017-05-07T11:45:27Z,2025-07-20T21:50:22Z,0,Dart,444,0,0,56878
nocodb/nocodb,2017-10-29T18:51:48Z,2025-08-18T12:47:19Z,174,TypeScript,5268,3605,628,56494
zylon-ai/private-gpt,2023-05-02T09:15:31Z,2024-11-13T19:30:32Z,10,Python,224,961,252,56470
scutan90/DeepLearning-500-questions,2018-06-27T06:36:45Z,2024-06-26T12:10:14Z,0,JavaScript,302,81,110,56457
hiyouga/LLaMA-Factory,2023-05-28T10:09:12Z,2025-08-18T10:22:47Z,34,Python,686,6727,580,56352
jgraph/drawio-desktop,2017-05-25T20:58:42Z,2025-07-23T09:09:44Z,159,JavaScript,20,1570,63,56352
soimort/you-get,2012-08-20T15:53:36Z,2025-04-27T15:33:25Z,123,Python,582,0,0,56338
FiloSottile/mkcert,2018-06-25T05:33:03Z,2024-08-13T13:37:46Z,14,Go,52,239,105,56118
traefik/traefik,2015-09-13T19:04:02Z,2025-08-13T08:30:07Z,481,Go,4697,5706,642,56113
